NAMES	col1  	col2	col3	col4	col5	col6	col7
YFR015C	-1.26	-1.01	-0.68	0.32	-0.14	1.39	1.37
YFR033C	-0.74	-0.93	-0.78	-0.46	-0.12	1.79	1.25
YGL006W	-1.11	-1.00	-1.00	0.17	0.22	1.45	1.27
YGL187C	-1.09	-0.87	-0.58	-0.43	-0.02	1.40	1.60
YGL191W	-0.74	-0.85	-0.75	-0.75	0.06	1.58	1.45
YGR008C	-1.17	-1.06	-0.60	0.05	-0.01	1.74	1.05
YGR019W	-0.99	-1.06	-0.40	-0.30	-0.28	1.56	1.46
YGR088W	-0.81	-0.88	-0.77	-0.38	-0.21	1.77	1.28
YGR174C	-0.94	-0.93	-0.60	-0.35	-0.22	1.74	1.30
YHL021C	-1.34	-0.84	-0.38	-0.08	-0.25	1.65	1.24
YIL087C	-1.11	-1.06	-0.40	-0.21	-0.16	1.62	1.33
YIL107C	-1.01	-0.91	-0.92	-0.22	0.14	1.44	1.48
YKL085W	-1.02	-1.04	-0.79	-0.21	0.19	1.58	1.30
YKL103C	-1.38	-0.80	-0.67	-0.16	0.39	1.75	0.87
YKL148C	-1.09	-0.82	-0.47	-0.67	0.07	1.51	1.48
YKL150W	1	-0.88	-0.65	-0.85	-0.39	1.62	1.14
YKR016W	-1.16	-0.98	-0.32	-0.33	-0.18	1.66	1.30
YKR067W	-1.15	-1.04	-0.73	-0.24	0.41	1.18	1.56
YLL026w	-0.88	-0.88	-1.07	-0.12	0.03	1.33	1.59
YLL041c	-1.15	-1.20	-0.62	-0.07	0.27	1.34	1.41
YLR178C	-1.05	-1.04	-0.88	-0.08	0.38	1.75	0.92
YLR258W	-1.26	-0.97	-0.94	0.31	0.38	1.61	0.87
YLR294C	-0.66	-1.15	-0.64	-0.46	-0.08	1.75	1.24
YLR299W	-0.96	-0.69	-0.99	-0.55	0.31	1.30	1.59
YLR304C	-1.20	-0.74	-0.81	-0.15	0.07	0.97	1.84
YLR327C	-0.96	-1.07	-0.75	-0.13	0.00	1.73	1.17
YLR345W	-1.20	-0.81	-0.73	-0.12	-0.10	1.48	1.48
YLR395C	-1.01	-1.10	-0.44	-0.58	0.32	1.11	1.70
YML100W	-1.15	-0.87	-1.10	0.26	0.22	1.14	1.51
YML120C	-0.73	-1.13	-0.75	-0.35	-0.02	1.38	1.61
YML128C	-1.19	-0.98	-0.46	-0.07	-0.21	1.72	1.19
YMR105C	-1.30	-0.91	-0.74	0.25	-0.03	1.62	1.12
YMR110C	-0.97	-0.75	-0.67	-0.61	-0.05	1.69	1.36
YMR133W	-1.41	-0.78	-0.39	-0.41	0.16	1.57	1.26
YMR196W	-1.12	-1.06	-0.93	0.26	0.25	1.65	0.95
YNL015W	-0.97	-1.19	-0.45	-0.18	-0.10	1.77	1.12
YNL055C	-0.86	-1.25	-0.45	-0.13	-0.24	1.74	1.18
YNL100W	-1.05	-1.10	-0.77	-0.12	0.20	1.52	1.32
YNL144C	-0.97	-1.04	-0.71	-0.37	0.14	1.48	1.46
YOL048C	-1.01	-0.80	-0.46	-0.36	-0.44	1.72	1.36
YOL053C	-1.01	-1.08	-0.80	0.04	0.07	1.78	1.00
YOR215C	-0.89	-0.95	-0.66	-0.34	-0.21	1.73	1.31
YOR317W	-1.31	-0.61	-0.77	-0.32	0.11	1.37	1.53
YOR374W	-1.26	-0.72	-0.88	-0.16	0.17	1.42	1.43
YPL078C	-1.00	-1.04	-0.60	-0.73	0.75	1.16	1.45
YPL230W	-0.98	-0.77	-0.95	0.05	-0.32	1.52	1.46
YPR149W	-0.98	-1.04	-0.70	-0.18	-0.05	1.32	1.64
YDR258C	-1.04	-0.68	-1.02	-0.01	-0.23	1.53	1.43
YAL060W	-0.91	-0.63	-0.78	-0.32	-0.38	1.92	1.11
YBL038W	-0.85	-0.98	-0.71	-0.38	-0.05	1.83	1.15
YBL064C	-0.77	-1.04	-0.48	-0.34	-0.44	1.77	1.29
YBR269C	-0.79	-1.01	-0.76	-0.35	-0.05	1.84	1.12
YCL035C	-0.98	-0.63	-0.38	-0.21	-0.69	2.07	0.82
YDL004W	-0.88	-1.01	-0.62	-0.34	-0.08	1.91	1.02
YDR031w	-1.02	-0.78	-0.47	-0.53	-0.04	2.05	0.80
YDR074W	-1.06	-0.99	-0.93	0.32	0.21	1.88	0.57
YDR272W	-0.85	-0.92	-0.39	-0.30	-0.36	2.15	0.66
YDR277C	-1.23	-0.86	-0.39	-0.60	0.25	1.72	1.11
YDR516C	-1.26	-0.69	-0.48	0.02	-0.08	2.14	0.35
YEL039c	-0.72	-0.95	-0.61	-0.37	-0.40	1.89	1.15
YER035w	-0.73	-0.78	-0.74	-0.75	0.15	2.00	0.85
YER067w	-1.04	-0.85	-0.34	-0.10	-0.66	1.77	1.22
YER182w	-0.81	-0.81	-0.59	-0.71	-0.05	1.97	0.98
YFR053C	-0.91	-0.72	-0.63	0.12	0.74	2.07	-0.67
YGL037C	-1.07	-0.88	-0.98	-0.01	0.33	1.85	0.76
YGL121C	-1.12	-0.59	-0.59	-0.65	-0.04	1.79	1.20
YGL199C	-0.73	-1.02	-0.67	-0.44	0.01	2.02	0.84
YGR248W	-1.00	-1.06	-0.51	-0.35	0.14	1.94	0.84
YHR104W	-0.81	-0.83	-0.43	-0.32	-0.40	2.21	0.58
YIL113W	-0.73	-0.75	-0.70	-0.35	-0.47	2.04	0.95
YIL136W	-1.22	-0.72	-0.38	-0.71	0.39	1.92	0.72
YIL162W	-0.85	-0.49	-0.05	-0.50	-0.87	2.16	0.60
YJL144W	-0.91	-0.96	-0.18	-0.26	-0.56	2.03	0.84
YJL151C	-0.87	-0.63	-0.52	-0.77	-0.23	1.94	1.08
YJR096W	-1.20	-0.57	-0.59	-0.45	0.13	2.06	0.63
YKL026C	-0.82	-0.79	-0.66	-0.50	-0.31	1.84	1.24
YKL142W	-1.08	-0.70	-0.70	-0.37	0.29	2.11	0.45
YKL151C	-1.09	-0.68	-0.29	-0.25	-0.66	1.92	1.05
YKL193C	-0.69	-0.78	-0.92	-0.44	-0.09	2.02	0.90
YLL023C	-0.91	-0.93	-0.26	-0.31	-0.48	2.06	0.83
YLR080W	1	-0.83	-0.98	-0.63	-0.22	1.74	0.93
YLR270W	-0.72	-0.85	-0.61	-0.21	-0.45	2.16	0.68
YLR356W	1	-1.29	-0.62	-0.29	-0.33	1.79	0.74
YML004C	-0.92	-0.16	-0.63	-0.79	-0.39	2.07	0.82
YMR030W	-0.89	-0.89	-0.38	-0.43	-0.43	1.91	1.12
YMR090W	-1.18	-0.84	-0.21	-0.54	0.32	2.08	0.37
YMR170C	-0.74	-0.69	-0.72	-0.53	-0.31	2.05	0.94
YMR195W	-1.23	-0.65	-0.60	-0.54	0.40	1.95	0.67
YNL045W	-1.17	-0.78	-0.15	-0.63	-0.17	1.87	1.04
YNL115C	-1.21	-0.57	-0.25	-0.92	0.09	1.75	1.11
YNL173C	-0.94	-1.11	-0.74	0.03	-0.02	1.88	0.89
YNL200C	-1.14	-1.00	-0.71	-0.04	0.16	1.83	0.90
YNL274C	-0.91	-0.86	-0.54	-0.23	-0.39	2.04	0.88
YNL305C	-1.04	-0.77	-0.28	-0.73	0.21	2.10	0.51
YNR073C	-0.69	-0.67	-0.45	-0.61	-0.55	2.12	0.85
YOL071W	-0.90	-0.96	-0.23	-0.40	-0.52	1.83	1.19
YOR052C	-0.87	-0.62	-0.35	-0.40	-0.62	2.17	0.68
YOR161C	-1.21	-0.87	-0.48	0.07	-0.20	2.00	0.69
YOR220W	-0.80	-1.09	-0.21	-0.29	-0.61	1.80	1.20
YPL004C	-0.99	-0.54	-0.96	-0.45	0.09	1.94	0.91
YAL034C	-1.04	-0.01	-0.34	-0.87	-0.73	1.35	1.64
YBL043W	-0.87	-0.34	-0.39	-0.59	-0.89	1.37	1.72
YBL049W	-0.87	-0.31	-0.29	-0.54	-1.05	1.46	1.59
YBR046C	-0.78	0.37	-1.09	-0.60	-0.76	1.63	1.22
YCR039c	-0.91	0.09	-0.47	-0.73	-0.93	1.76	1.20
YCR091w	-1.00	-0.30	-0.64	-0.33	-0.75	1.86	1.17
YDL079C	-0.76	0.77	-0.65	-0.97	-0.85	1.83	0.63
YDL085w	-0.78	0.20	-0.63	-0.79	-0.92	1.13	1.79
YDL204w	-0.87	-0.09	-0.96	-0.49	-0.60	1.79	1.23
YDL218w	-0.84	0.11	-0.51	-0.91	-0.84	1.32	1.66
YDL223c	-0.62	0.11	-0.30	-0.66	-1.33	0.95	1.85
YDR003W	-1.16	0.64	-1.07	-0.47	-0.54	1.63	0.96
YDR018c	-0.99	0.71	-0.47	-1.03	-0.87	1.25	1.39
YDR313C	-0.52	-0.06	-0.41	-0.88	-1.10	1.77	1.20
YIL097W	-0.80	-0.35	-0.55	-0.66	-0.76	1.67	1.46
YJL141C	-1.03	-0.30	-0.34	-0.74	-0.57	1.93	1.05
YKL093W	-0.82	-0.27	-0.29	-0.71	-0.98	1.57	1.49
YLR164W	1	-0.83	-0.78	-0.46	-0.71	1.63	1.15
YLR168C	-0.95	-0.32	-0.29	-0.61	-0.90	1.53	1.54
YMR139W	-0.86	-0.39	-0.93	-0.35	-0.56	1.66	1.43
YNL093W	-1.28	0.33	-0.48	-0.46	-0.89	1.65	1.14
YBL048W	-0.69	-0.39	-0.60	-0.67	-0.77	1.72	1.41
YBL075C	-0.48	-0.83	-0.57	-0.69	-0.57	1.45	1.69
YBR067C	-0.67	-0.65	-0.40	-0.66	-0.76	1.44	1.70
YBR101C	-0.65	-0.67	-0.52	-0.75	-0.57	1.50	1.65
YBR147W	-0.80	-0.43	-0.73	-0.65	-0.51	1.78	1.34
YDR070c	-0.70	-0.62	-0.64	-0.70	-0.43	1.93	1.16
YGR236C	-0.49	-0.52	-0.59	-0.72	-0.81	1.76	1.37
YGR238C	-0.75	-0.65	-0.34	-0.77	-0.63	1.55	1.59
YGR243W	-0.64	-0.60	-0.67	-0.54	-0.69	1.81	1.33
YJL067W	-0.89	-0.60	-0.69	-0.61	-0.34	1.65	1.48
YKL016C	-0.69	-0.82	-0.71	-0.64	-0.25	1.71	1.40
YKL217W	-0.82	-0.58	-0.52	-0.74	-0.47	1.49	1.65
YLR216C	-0.45	-0.62	-0.58	-0.56	-0.77	2.10	0.88
YLR217W	-0.38	-0.47	-0.88	-0.75	-0.60	1.86	1.22
YLR219W	-0.79	-0.57	-0.41	-0.67	-0.68	1.78	1.34
YLR295C	-0.54	-0.78	-0.96	-0.41	-0.42	1.66	1.44
YMR107W	-0.76	-0.63	-0.58	-0.67	-0.51	1.58	1.57
YNL037C	-0.86	-0.59	-0.74	-0.43	-0.52	1.54	1.60
YNL134C	-0.62	-0.69	-0.69	-0.66	-0.49	1.72	1.42
YNL194C	-0.81	-0.61	-0.55	-0.73	-0.44	1.72	1.41
YNL202W	-0.76	-0.72	-0.44	-0.87	-0.33	1.53	1.59
YOR031W	-0.46	-0.70	-0.70	-0.71	-0.52	1.94	1.13
YBR116C	-0.66	-0.32	-0.46	-0.71	-0.92	1.23	1.84
YDL020C	-0.14	-0.68	-0.61	-0.74	-0.91	1.65	1.43
YDR043C	-0.57	-0.50	-0.38	-0.38	-1.19	1.24	1.78
YDR262w	-0.26	-0.36	-0.45	-1.24	-0.70	1.35	1.66
YEL065w	1.17	0.08	0.01	-1.45	-1.40	0.41	1.17
YGR146C	-0.29	-0.15	-0.46	-1.20	-0.87	1.31	1.67
YGR256W	-0.31	-0.39	-0.14	-1.38	-0.69	1.66	1.26
YJR155W	-0.14	-0.43	-0.68	-0.89	-0.92	1.58	1.48
YKL163W	-0.42	-0.25	0.06	-1.29	-0.98	1.52	1.35
YNL036W	0.52	-0.34	-0.98	-0.95	-0.99	1.43	1.31
YOR027W	-0.12	-0.30	-0.84	-1.08	-0.66	1.30	1.71
YPL135W	-0.44	-0.44	-0.57	-0.87	-0.77	1.33	1.77
YOL109W	-0.43	-0.38	0.24	-0.63	-1.54	1.15	1.59
YAL067C	-0.98	-0.76	0.21	-0.83	-0.59	1.64	1.30
YBR053C	-0.78	-0.74	0.12	-0.20	-1.26	1.70	1.16
YBR203W	-0.69	-0.70	-0.53	-0.45	-0.75	1.82	1.30
YBR214W	-0.97	-0.67	-0.21	-0.20	-0.93	1.81	1.17
YBR280C	-0.73	-0.69	-0.31	-0.43	-0.84	1.99	1.02
YDL169C	-0.77	-0.95	-0.40	-0.60	-0.38	1.59	1.52
YDL245C	-0.52	-0.79	0.10	-0.42	-1.29	1.40	1.51
YDR148C	-1.16	-0.46	-0.01	-0.66	-0.68	1.75	1.21
YDR255C	-0.80	-0.73	-0.15	-0.08	-1.20	1.41	1.54
YDR329C	-0.81	-0.71	-0.29	-0.81	-0.48	1.78	1.31
YDR533C	-0.86	-0.74	-0.28	-0.42	-0.78	1.73	1.35
YER098w	-0.84	-0.92	0.13	-0.32	-1.00	1.45	1.50
YER142c	-0.92	-0.51	0.19	-0.38	-1.25	1.55	1.33
YER175c	-0.90	-0.81	-0.15	-0.52	-0.71	1.56	1.52
YGL045W	-0.87	-0.77	-0.38	-0.80	-0.28	1.61	1.48
YGL059W	-1.15	-0.91	0.43	-0.07	-1.00	1.51	1.18
YGR043C	-0.71	-0.90	-0.47	-0.50	-0.53	1.81	1.29
YGR052W	-1.30	-0.75	0.45	-0.46	-0.70	1.49	1.27
YGR066C	-0.68	-0.83	0.03	-0.65	-0.88	1.72	1.30
YGR130C	-0.62	-0.70	-0.50	-0.40	-0.82	1.95	1.11
YGR201C	-0.85	-1.07	0.34	-0.47	-0.81	1.59	1.28
YGR289C	-0.81	-0.61	-0.16	-0.79	-0.68	1.85	1.20
YHR195W	-0.90	-0.59	-0.04	-0.70	-0.65	2.06	0.82
YJL153C	-1.16	-0.44	0.27	-0.53	-1.00	1.50	1.36
YJL161W	-0.69	-0.88	-0.60	-0.45	-0.52	1.60	1.54
YJR008W	-1.00	-0.59	0.19	-0.28	-1.19	1.56	1.31
YJR080C	-0.80	-0.55	0.03	-0.25	-1.32	1.64	1.25
YKR058W	-0.91	-0.87	-0.42	-0.32	-0.57	1.71	1.38
YLL001w	-0.91	-0.71	-0.36	-0.33	-0.78	1.56	1.54
YLR271W	-1.02	-0.58	-0.65	-0.36	-0.48	1.75	1.34
YMR271C	-0.86	-0.90	-0.12	-0.77	-0.38	1.70	1.33
YMR311C	-0.59	-0.84	-0.51	-0.52	-0.58	2.00	1.04
YMR322C	-0.74	-0.65	-0.45	-0.36	-0.91	1.45	1.67
YNR007C	-0.72	-0.76	-0.61	-0.42	-0.61	1.84	1.27
YOL032W	-0.77	-0.74	-0.41	-0.52	-0.61	1.97	1.09
YOL053W	-1.19	-0.52	0.40	-0.54	-0.95	1.47	1.34
YOR178C	-0.94	-0.83	-0.25	-0.47	-0.60	1.69	1.40
YOR289W	-0.99	-1.10	-0.06	-0.26	-0.57	1.58	1.39
YOR386W	-1.10	-0.70	0.17	-0.18	-1.02	1.73	1.10
YPL185W	-0.84	-0.81	-0.53	-0.15	-0.74	1.68	1.39
YPL186C	-0.78	-0.94	-0.20	-0.52	-0.65	1.55	1.55
YPR150W	-0.71	-0.95	-0.55	-0.49	-0.42	1.71	1.40
YBL015W	-0.76	-0.64	-0.67	-0.60	-0.46	1.32	1.81
YBL099W	-1.07	-1.04	-0.07	-0.66	0.21	0.68	1.96
YBL100C	-0.95	-0.85	-0.59	-0.36	0.04	0.57	2.14
YBR039W	-0.64	-1.04	-0.10	-0.77	-0.37	0.96	1.96
YBR132C	-1.40	-0.83	0.30	-0.27	-0.55	1.18	1.57
YDL181W	-1.32	-0.44	-0.43	-0.02	-0.71	1.26	1.67
YDR059C	-1.00	-1.24	-0.08	-0.56	0.09	1.04	1.75
YDR085C	-1.31	-0.70	0.25	-0.72	-0.37	1.43	1.42
YEL011w	-1.15	-0.78	-0.47	-0.17	-0.47	1.40	1.62
YER079w	-0.90	-1.16	-0.18	-0.33	-0.38	1.18	1.77
YFL030W	-1.11	-0.77	-0.11	-0.56	-0.27	0.80	2.03
YGL259W	-0.98	-0.91	-0.35	-0.19	-0.45	0.87	2.02
YGR070W	-0.89	-0.59	-0.85	-0.58	-0.15	1.37	1.70
YGR142W	-0.97	-0.79	-0.50	-0.50	-0.24	1.11	1.90
YGR250C	-0.86	-1.10	-0.35	-0.68	0.07	1.13	1.78
YHL024W	-1.13	-0.78	0.01	-0.50	-0.54	1.12	1.82
YHR051W	-0.74	-0.91	-0.75	-0.52	-0.15	1.36	1.70
YIL101C	-0.85	-0.97	-0.29	-0.09	-0.82	1.35	1.66
YJL103C	-1.01	-0.60	-0.68	-0.58	-0.20	1.35	1.72
YJR048W	-0.75	-0.86	-0.58	-0.69	-0.13	1.09	1.92
YJR121W	-0.86	-0.89	-0.58	-0.44	-0.13	0.85	2.05
YKL109W	-0.99	-0.66	-0.22	-0.58	-0.62	1.24	1.81
YKL141W	-0.89	-1.11	-0.55	-0.39	0.05	1.05	1.85
YLR038c	-0.72	-0.91	-0.58	-0.96	0.27	1.20	1.70
YLR149C	-0.88	-0.77	-0.83	-0.17	-0.42	1.44	1.64
YLR312C	-0.91	-0.96	-0.31	-0.14	-0.59	0.92	1.99
YML054C	-1.01	-0.62	-0.21	-0.65	-0.58	1.30	1.76
YMR031C	-1.17	-0.95	-0.42	-0.39	0.27	0.72	1.95
YMR056C	-1.02	-1.03	-0.43	-0.42	0.11	0.83	1.96
YMR081C	-0.93	-1.05	-0.14	-0.73	-0.13	1.39	1.59
YMR136W	-1.52	-0.57	0.33	-0.53	-0.46	1.36	1.38
YMR181C	-0.99	-1.07	0.02	-0.07	-0.81	1.41	1.50
YMR191W	-1.03	-0.81	-0.28	-0.38	-0.54	1.23	1.80
YNL052W	-0.87	-0.88	-0.73	-0.55	0.03	1.24	1.76
YNR001C	-1.02	-0.78	-0.60	-0.54	-0.08	1.26	1.76
YOL117W	-1.13	-0.84	-0.05	-0.19	-0.75	1.37	1.60
YOL126C	-0.46	-0.64	-0.52	-1.17	-0.23	1.26	1.76
YOL153C	-1.19	-0.73	-0.09	-0.78	-0.06	1.00	1.85
YOR035C	-1.30	-0.27	-0.38	-0.89	-0.05	1.20	1.69
YOR065W	-0.82	-0.90	-0.64	-0.69	0.12	1.04	1.88
YOR100C	-1.16	-0.77	-0.09	-0.34	-0.49	0.88	1.98
YPL165C	-1.15	-0.68	-0.41	-0.54	-0.29	1.44	1.61
YPL201C	1	-0.84	-0.75	-0.65	-0.54	1.16	1.63
YPL223C	-0.75	-0.90	-0.55	-0.43	-0.49	1.35	1.76
YPR020W	-0.84	-0.93	-0.55	-0.56	-0.21	1.47	1.62
YPR098C	-1.15	-1.07	0.00	-0.33	-0.20	0.82	1.92
YPR184W	-0.85	-0.71	-0.89	-0.41	-0.05	0.90	2.00
YAL054C	-0.85	-0.51	-0.38	-0.51	-0.59	0.64	2.20
YDR125C	-0.90	-0.44	-0.42	-0.68	-0.64	1.20	1.87
YDR216W	-0.58	-0.46	-0.80	-0.69	-0.59	1.30	1.81
YEL012w	-0.55	-0.79	-0.40	-0.38	-0.85	0.93	2.04
YER024w	-0.60	-0.49	-0.24	-0.67	-0.78	0.54	2.24
YGL062W	0.28	0.36	-0.89	-0.67	-0.68	-0.58	2.18
YIL125W	-0.69	-0.35	-0.54	-0.81	-0.41	0.56	2.23
YJL089W	-0.82	-0.58	-0.49	-0.45	-0.50	0.64	2.21
YJL163C	-0.66	-0.73	-0.57	-0.39	-0.65	0.92	2.07
YKL187C	-0.53	-0.52	-0.41	-0.70	-0.88	1.08	1.96
YLR259C	-0.29	-0.45	-1.30	-0.50	-0.39	1.05	1.88
YLR311C	-0.78	-0.74	-0.50	-0.33	-0.62	0.90	2.07
YNL009W	-0.47	-1.02	-0.38	-0.55	-0.58	1.02	1.98
YOL084W	1	-0.89	-0.47	-0.59	-0.67	0.69	1.93
YPL262W	-0.49	-0.57	-0.56	-0.73	-0.64	0.90	2.09
YPR030W	-0.71	-0.45	-0.44	-0.82	-0.63	1.08	1.97
YBL045C	-0.84	-0.92	-0.14	-0.32	-0.74	1.03	1.93
YBR001C	-0.76	-0.97	-0.01	0.19	-1.17	0.91	1.80
YBR117C	-0.49	-0.17	-0.12	-0.85	-1.22	0.95	1.90
YBR298C	-0.88	-0.55	-0.22	-0.85	-0.53	1.15	1.88
YCR005c	-0.72	-0.35	-0.13	-0.60	-1.06	0.83	2.04
YDL199c	-0.80	-0.22	-0.29	-0.55	-1.12	1.15	1.83
YGL153W	-0.69	-0.60	-0.16	-0.54	-1.01	1.14	1.87
YGR110W	-0.42	-0.54	0.00	-0.70	-1.12	0.72	2.06
YHL032C	-0.72	-0.65	-0.12	-0.80	-0.72	1.11	1.91
YHR096C	-0.76	-0.69	-0.04	-0.35	-0.94	0.65	2.12
YJL045W	-0.78	-0.62	0.04	-0.50	-0.93	0.68	2.11
YJL137C	-0.60	-0.42	-0.19	-0.45	-1.23	0.90	1.98
YJR095W	-0.91	-0.81	0.27	-0.57	-0.60	0.48	2.13
YKR076W	-0.81	-0.72	-0.31	-0.48	-0.74	1.19	1.88
YLR174W	-0.69	-0.84	0.02	-0.49	-0.71	0.51	2.19
YLR267W	-0.65	-0.42	-0.29	-0.64	-0.99	1.01	1.98
YML042W	-0.83	-0.60	-0.01	-0.65	-0.93	1.25	1.77
YMR114C	-1.38	-0.26	1.39	-0.76	-0.67	0.24	1.42
YMR206W	-0.78	-0.71	-0.41	-0.40	-0.77	1.19	1.88
YOR019W	-1.01	-0.52	0.15	-0.99	-0.55	1.20	1.73
YOR391C	-0.70	-0.78	-0.11	-0.54	-0.90	1.21	1.82
YCR054C	0.31	0.46	0.79	-1.08	-0.73	1.60	-1.35
YKL061W	1.42	-0.64	-0.67	-0.17	-0.26	1.57	-1.24
YLR109W	1.05	0.88	-1.06	-1.42	0.39	1.03	-0.87
YBL054W	1.39	1.03	0.80	-1.24	-0.79	-0.09	-1.10
YBR034C	0.87	1.15	1.22	-0.90	-0.87	-0.10	-1.36
YGR177C	0.53	1.29	0.86	-0.77	-1.06	0.63	-1.49
YKL078W	0.94	1.00	1.07	-0.68	-0.46	-0.05	-1.82
YKL106W	1.65	0.86	0.36	-0.41	-1.11	0.05	-1.41
YKR024C	0.81	1.03	0.94	-0.71	-1.19	0.58	-1.46
