NAMES	col1  	col2	col3	col4	col5	col6	col7
YFR015C	-1.26	-1.01	-0.68	0.32	-0.14	1.39	1.37
YFR033C	-0.74	-0.93	-0.78	-0.46	-0.12	1.79	1.25
YGL006W	-1.11	-1.00	-1.00	0.17	0.22	1.45	1.27
YGL187C	-1.09	-0.87	-0.58	-0.43	-0.02	1.40	1.60
YGL191W	-0.74	-0.85	-0.75	-0.75	0.06	1.58	1.45
YGR008C	-1.17	-1.06	-0.60	0.05	-0.01	1.74	1.05
YGR019W	-0.99	-1.06	-0.40	-0.30	-0.28	1.56	1.46
YGR088W	-0.81	-0.88	-0.77	-0.38	-0.21	1.77	1.28
YGR174C	-0.94	-0.93	-0.60	-0.35	-0.22	1.74	1.30
YHL021C	-1.34	-0.84	-0.38	-0.08	-0.25	1.65	1.24
YIL087C	-1.11	-1.06	-0.40	-0.21	-0.16	1.62	1.33
YIL107C	-1.01	-0.91	-0.92	-0.22	0.14	1.44	1.48
YKL085W	-1.02	-1.04	-0.79	-0.21	0.19	1.58	1.30
YKL103C	-1.38	-0.80	-0.67	-0.16	0.39	1.75	0.87
YKL148C	-1.09	-0.82	-0.47	-0.67	0.07	1.51	1.48
YKL150W	1	-0.88	-0.65	-0.85	-0.39	1.62	1.14
YKR016W	-1.16	-0.98	-0.32	-0.33	-0.18	1.66	1.30
YKR067W	-1.15	-1.04	-0.73	-0.24	0.41	1.18	1.56
YLL026w	-0.88	-0.88	-1.07	-0.12	0.03	1.33	1.59
YLL041c	-1.15	-1.20	-0.62	-0.07	0.27	1.34	1.41
YLR178C	-1.05	-1.04	-0.88	-0.08	0.38	1.75	0.92
YLR258W	-1.26	-0.97	-0.94	0.31	0.38	1.61	0.87
YLR294C	-0.66	-1.15	-0.64	-0.46	-0.08	1.75	1.24
YLR299W	-0.96	-0.69	-0.99	-0.55	0.31	1.30	1.59
YLR304C	-1.20	-0.74	-0.81	-0.15	0.07	0.97	1.84
YLR327C	-0.96	-1.07	-0.75	-0.13	0.00	1.73	1.17
YLR345W	-1.20	-0.81	-0.73	-0.12	-0.10	1.48	1.48
YLR395C	-1.01	-1.10	-0.44	-0.58	0.32	1.11	1.70
YML100W	-1.15	-0.87	-1.10	0.26	0.22	1.14	1.51
YML120C	-0.73	-1.13	-0.75	-0.35	-0.02	1.38	1.61
YML128C	-1.19	-0.98	-0.46	-0.07	-0.21	1.72	1.19
YMR105C	-1.30	-0.91	-0.74	0.25	-0.03	1.62	1.12
YMR110C	-0.97	-0.75	-0.67	-0.61	-0.05	1.69	1.36
YMR133W	-1.41	-0.78	-0.39	-0.41	0.16	1.57	1.26
YMR196W	-1.12	-1.06	-0.93	0.26	0.25	1.65	0.95
YNL015W	-0.97	-1.19	-0.45	-0.18	-0.10	1.77	1.12
YNL055C	-0.86	-1.25	-0.45	-0.13	-0.24	1.74	1.18
YNL100W	-1.05	-1.10	-0.77	-0.12	0.20	1.52	1.32
YNL144C	-0.97	-1.04	-0.71	-0.37	0.14	1.48	1.46
YOL048C	-1.01	-0.80	-0.46	-0.36	-0.44	1.72	1.36
YOL053C	-1.01	-1.08	-0.80	0.04	0.07	1.78	1.00
YOR215C	-0.89	-0.95	-0.66	-0.34	-0.21	1.73	1.31
YOR317W	-1.31	-0.61	-0.77	-0.32	0.11	1.37	1.53
YOR374W	-1.26	-0.72	-0.88	-0.16	0.17	1.42	1.43
YPL078C	-1.00	-1.04	-0.60	-0.73	0.75	1.16	1.45
YPL230W	-0.98	-0.77	-0.95	0.05	-0.32	1.52	1.46
YPR149W	-0.98	-1.04	-0.70	-0.18	-0.05	1.32	1.64
YDR258C	-1.04	-0.68	-1.02	-0.01	-0.23	1.53	1.43
YAL060W	-0.91	-0.63	-0.78	-0.32	-0.38	1.92	1.11
YBL038W	-0.85	-0.98	-0.71	-0.38	-0.05	1.83	1.15
YBL064C	-0.77	-1.04	-0.48	-0.34	-0.44	1.77	1.29
YBR269C	-0.79	-1.01	-0.76	-0.35	-0.05	1.84	1.12
YCL035C	-0.98	-0.63	-0.38	-0.21	-0.69	2.07	0.82
YDL004W	-0.88	-1.01	-0.62	-0.34	-0.08	1.91	1.02
YDR031w	-1.02	-0.78	-0.47	-0.53	-0.04	2.05	0.80
YDR074W	-1.06	-0.99	-0.93	0.32	0.21	1.88	0.57
YDR272W	-0.85	-0.92	-0.39	-0.30	-0.36	2.15	0.66
YDR277C	-1.23	-0.86	-0.39	-0.60	0.25	1.72	1.11
YDR516C	-1.26	-0.69	-0.48	0.02	-0.08	2.14	0.35
YEL039c	-0.72	-0.95	-0.61	-0.37	-0.40	1.89	1.15
YER035w	-0.73	-0.78	-0.74	-0.75	0.15	2.00	0.85
YER067w	-1.04	-0.85	-0.34	-0.10	-0.66	1.77	1.22
YER182w	-0.81	-0.81	-0.59	-0.71	-0.05	1.97	0.98
YFR053C	-0.91	-0.72	-0.63	0.12	0.74	2.07	-0.67
YGL037C	-1.07	-0.88	-0.98	-0.01	0.33	1.85	0.76
YGL121C	-1.12	-0.59	-0.59	-0.65	-0.04	1.79	1.20
YGL199C	-0.73	-1.02	-0.67	-0.44	0.01	2.02	0.84
YGR248W	-1.00	-1.06	-0.51	-0.35	0.14	1.94	0.84
YHR104W	-0.81	-0.83	-0.43	-0.32	-0.40	2.21	0.58
YIL113W	-0.73	-0.75	-0.70	-0.35	-0.47	2.04	0.95
YIL136W	-1.22	-0.72	-0.38	-0.71	0.39	1.92	0.72
YIL162W	-0.85	-0.49	-0.05	-0.50	-0.87	2.16	0.60
YJL144W	-0.91	-0.96	-0.18	-0.26	-0.56	2.03	0.84
YJL151C	-0.87	-0.63	-0.52	-0.77	-0.23	1.94	1.08
YJR096W	-1.20	-0.57	-0.59	-0.45	0.13	2.06	0.63
YKL026C	-0.82	-0.79	-0.66	-0.50	-0.31	1.84	1.24
YKL142W	-1.08	-0.70	-0.70	-0.37	0.29	2.11	0.45
YKL151C	-1.09	-0.68	-0.29	-0.25	-0.66	1.92	1.05
